WMS — Relatório de Período
Período,05/06/2026 até 05/06/2026
Gerado em,05/06/2026 09:49:15
Unidade,MASTER

RESUMO
Pedidos cadastrados no período,6
Pedidos retirados no período,3
Pedidos ativos no fechamento,556

=== A. CADASTRADOS NO PERÍODO ===
PEDIDO,CAIXA,POSIÇÃO,DATA PEDIDO,CADASTRADO EM,CADASTRADO POR,SETOR
10115264,02341,P-03-03,02/06/2026 14:26:38,2,AR
10117848,02561,P-03-03,02/06/2026 14:26:56,2,AR
10118482,02710,P-03-03,02/06/2026 14:27:18,2,AR
10118665,02120,P-03-03,02/06/2026 15:06:46,2,AR
10118161,01459,P-03-03,02/06/2026 15:07:18,2,AR
10115717,00373,P-03-03,02/06/2026 15:07:48,2,AR
10117945,20029,P-03-03,02/06/2026 15:08:29,2,AR
10117794,02337,P-03-02,02/06/2026 15:08:58,2,AR
10117900,01382,P-03-02,02/06/2026 15:09:37,2,AR
10117736,02691,P-03-02,02/06/2026 15:12:32,2,AR
10117917,02233,P-03-02,02/06/2026 15:12:55,2,AR
10117886,02532,P-03-02,02/06/2026 15:13:20,2,AR
10118044,01839,P-03-02,02/06/2026 15:13:44,2,AR
10117440,00088,P-03-02,02/06/2026 15:14:18,2,AR
10117895,01898,P-03-02,02/06/2026 15:14:38,2,AR
10118444,01472,P-03-02,02/06/2026 15:16:35,2,AR
10117949,00042,P-03-02,02/06/2026 15:16:58,2,AR
10117843,20106,P-03-02,02/06/2026 15:17:24,2,AR
10118065,00020,P-03-02,02/06/2026 15:17:50,2,AR
10117243,01412,P-03-02,02/06/2026 15:18:21,2,AR
10117868,01494,P-03-02,02/06/2026 15:18:53,2,AR
10118603,01949,P-03-02,02/06/2026 15:19:25,2,AR
10118090,01519,P-03-02,02/06/2026 15:20:06,2,AR
10112973,02292,P-03-02,02/06/2026 15:39:12,2,AR
10117351,02009,P-03-02,02/06/2026 15:54:02,2,AR
10117931,01830,P-03-02,02/06/2026 15:55:16,2,AR
10117874,00460,P-03-02,02/06/2026 15:55:29,2,AR
10119181,02020,P-03-02,02/06/2026 16:14:16,2,AR
10118644,02288,P-03-02,02/06/2026 16:14:32,2,AR
10118666,00359,P-03-02,02/06/2026 16:14:59,2,AR
10119080,00075,P-03-02,02/06/2026 16:15:19,2,AR
10117951,01252,P-03-02,02/06/2026 16:15:36,2,AR
10117248,02128,P-03-02,02/06/2026 16:15:59,2,AR
10118651,20035,P-03-02,02/06/2026 16:16:16,2,AR
10118668,01548,P-03-02,02/06/2026 16:16:43,2,AR
10118705,02890,P-03-01,02/06/2026 16:16:57,2,AR
10118464,01291,P-03-01,02/06/2026 16:17:13,2,AR
